Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Aryna Sabalenka [BLR],69,1.21,9536,53.6%,20,13-7,65.0%,12.7%,158,116-42,73.4%,1445,845-600,58.5%,01:31,39.9,39.6,44.2%,262,593,0.83,3.8,8.6,1.66,3.8,58.2%,210,361,0.49,2.3,5.2,0.96,2.2,44.6%,43.6%,4.6%,5.4%,37.6%,55.4%,36.8%,6.8,3.1,31.5,69.2,54-15,78.3%,63.0%,64.0%,390,8.3%,290,6.2%,16.0%,61.2%,71.9%,49.0%,58.3%,79.4%,6.4,2.4
2,Iga Swiatek [POL],78,1.36,9422,56.3%,15,10-5,66.7%,8.7%,172,137-35,79.7%,1485,947-538,63.8%,01:29,40.5,44.4,53.8%,343,638,0.87,3.7,8.2,1.99,4.4,56.8%,193,340,0.45,2.0,4.4,0.85,1.9,48.8%,48.2%,4.5%,5.5%,39.6%,62.9%,46.7%,6.6,3.2,30.0,52.4,66-12,84.6%,64.2%,64.9%,134,2.9%,126,2.7%,8.1%,66.3%,69.1%,54.5%,59.4%,80.4%,6.1,2.2
3,Cori Gauff [USA],68,1.14,8629,52.8%,10,06-4,60.0%,6.6%,152,104-48,68.4%,1307,748-559,57.2%,01:24,37.6,39.7,47.2%,262,555,0.86,3.7,8.2,1.72,3.9,58.8%,253,430,0.65,2.8,6.3,1.16,2.6,45.6%,44.0%,2.0%,4.5%,39.8%,56.1%,40.7%,6.7,3.1,41.0,64.6,49-19,72.1%,60.0%,60.4%,272,6.3%,206,4.8%,12.5%,61.8%,67.7%,47.6%,54.4%,73.3%,6.5,2.6
4,Jessica Pegula [USA],72,1.15,9617,52.8%,17,08-9,47.1%,10.2%,167,113-54,67.7%,1455,829-626,57.0%,01:31,39.0,40.7,47.9%,302,630,0.87,3.8,8.8,1.81,4.2,56.4%,260,461,0.63,2.8,6.4,1.20,2.8,46.1%,44.9%,3.8%,5.3%,39.3%,57.5%,41.5%,6.7,3.1,31.0,54.7,53-19,73.6%,59.8%,60.7%,171,3.6%,178,3.8%,9.1%,58.6%,66.4%,50.5%,55.5%,72.4%,6.5,2.6
5,Elena Rybakina [KAZ],62,1.15,8603,52.7%,24,18-6,75.0%,16.7%,144,103-41,71.5%,1289,718-571,55.7%,01:36,41.2,41.4,40.9%,201,492,0.77,3.4,7.9,1.40,3.2,63.2%,225,356,0.55,2.5,5.7,0.91,2.1,42.1%,40.5%,4.0%,5.4%,34.5%,54.6%,31.4%,6.7,2.8,26.0,60.4,47-15,75.8%,63.3%,61.7%,465,10.9%,173,4.0%,9.4%,57.0%,73.8%,49.5%,54.6%,79.8%,6.6,2.4
6,Markéta Vondrousova [CZE],55,1.20,6782,53.7%,11,05-6,45.5%,9.2%,120,85-35,70.8%,1040,606-434,58.3%,01:21,37.1,39.3,47.6%,230,483,0.92,4.0,8.8,1.92,4.2,55.0%,171,311,0.60,2.6,5.7,1.17,2.5,47.5%,45.6%,2.4%,5.5%,41.1%,57.9%,43.9%,6.8,3.2,34.0,54.6,41-14,74.5%,60.6%,62.9%,131,4.1%,199,6.2%,17.2%,64.3%,66.8%,49.4%,59.7%,72.9%,6.3,2.5
7,Ons Jabeur [TUN],46,1.09,6499,51.8%,16,08-8,50.0%,15.1%,106,64-42,60.4%,995,538-457,54.1%,01:28,38.2,37.4,49.5%,198,400,0.80,3.8,8.7,1.87,4.3,53.3%,179,336,0.68,3.2,7.3,1.48,3.4,45.6%,43.8%,2.2%,4.9%,40.3%,54.3%,39.8%,6.6,3.0,43.5,64.4,30-16,65.2%,58.1%,58.5%,171,5.3%,139,4.3%,9.4%,54.2%,67.7%,46.9%,51.7%,68.4%,6.5,2.7
8,Karolina Muchova [CZE],57,1.13,8208,52.5%,21,11-10,52.4%,15.4%,136,89-47,65.4%,1235,688-547,55.7%,01:41,42.2,42.0,48.5%,230,474,0.77,3.5,8.3,1.69,4.0,59.7%,237,397,0.64,2.9,7.0,1.18,2.8,44.6%,42.8%,2.7%,5.2%,39.4%,52.9%,37.3%,6.7,3.0,36.5,62.1,40-17,70.2%,60.4%,60.8%,182,4.4%,140,3.4%,9.3%,63.1%,66.0%,51.0%,56.2%,74.1%,6.6,2.6
9,Maria Sakkari [GRE],64,1.06,9745,51.1%,16,08-8,50.0%,10.5%,152,88-64,57.9%,1441,766-675,53.2%,01:52,47.2,44.2,43.0%,241,561,0.78,3.7,8.8,1.59,3.8,61.1%,310,507,0.70,3.3,7.9,1.30,3.1,43.2%,42.1%,4.5%,5.2%,36.5%,54.6%,33.5%,6.9,3.0,38.0,63.8,40-24,62.5%,59.3%,60.3%,228,4.8%,233,4.9%,12.1%,59.7%,66.9%,48.1%,54.7%,72.7%,6.6,2.7
10,Barbora Krejcikova [CZE],55,1.14,7286,52.5%,16,08-8,50.0%,13.0%,123,79-44,64.2%,1094,612-482,55.9%,01:39,44.5,45.0,49.2%,195,396,0.72,3.2,7.2,1.59,3.5,60.2%,195,324,0.59,2.6,5.9,1.05,2.3,43.7%,43.1%,5.1%,5.1%,36.9%,55.3%,35.6%,6.8,3.0,36.5,51.6,38-17,69.1%,61.5%,63.6%,192,5.4%,228,6.4%,16.0%,60.2%,69.8%,48.9%,58.3%,76.4%,6.5,2.5
