Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,9s,9 W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/9,Sec/Pt,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Novak Djokovic [SRB],72,1.42,11360,55.6%,42,35-7,83.3%,22.1%,190,160-30,84.2%,1765,1064-701,60.3%,01:49,41.4,41.5,42.6%,258,606,0.70,3.2,8.4,1.36,3.6,66.4%,190,286,0.32,1.5,4.0,0.51,1.3,41.6%,43.3%,8.4%,3.4%,33.4%,55.6%,29.9%,6.8,2.8,23.0,43.9,65-7,90.3%,70.7%,70.5%,444,8.1%,170,3.1%,8.8%,64.5%,77.9%,57.6%,63.2%,89.4%,6.0,1.8
2,Carlos Alcaraz [ESP],73,1.26,11554,53.9%,25,17-8,68.0%,13.4%,187,148-39,79.1%,1780,1043-737,58.6%,01:50,43.1,41.9,41.1%,278,677,0.76,3.6,9.3,1.49,3.8,65.6%,244,372,0.42,2.0,5.1,0.68,1.8,42.0%,41.8%,4.6%,3.8%,35.1%,53.4%,31.3%,6.7,2.8,32.0,57.2,63-10,86.3%,66.6%,66.9%,278,5.0%,165,3.0%,8.6%,65.6%,72.1%,56.1%,61.3%,85.7%,6.2,2.1
3,Daniil Medvedev [RUS],80,1.23,12230,53.7%,29,15-14,51.7%,14.4%,201,147-54,73.1%,1914,1119-795,58.5%,01:51,44.3,43.7,47.3%,304,643,0.67,3.2,8.0,1.51,3.8,65.8%,271,412,0.43,2.0,5.2,0.70,1.8,41.4%,41.3%,3.7%,2.8%,33.5%,54.9%,31.7%,6.4,2.7,31.0,47.6,63-17,78.8%,66.2%,66.3%,599,9.9%,309,5.1%,14.4%,64.7%,75.3%,49.6%,57.9%,85.3%,6.3,2.1
4,Holger Rune [DEN],75,1.12,11820,51.8%,39,27-12,69.2%,20.0%,195,133-62,68.2%,1872,1015-857,54.2%,01:47,41.1,40.7,40.7%,207,509,0.55,2.6,6.8,1.06,2.8,65.8%,254,386,0.41,2.0,5.1,0.68,1.8,37.1%,36.8%,6.4%,4.2%,28.9%,50.4%,22.2%,6.4,2.4,45.0,75.3,56-19,74.7%,66.7%,67.7%,392,6.7%,274,4.7%,12.7%,63.3%,73.9%,54.4%,62.3%,86.0%,6.2,2.1
5,Stefanos Tsitsipas [GRE],76,1.17,11832,52.4%,53,30-23,56.6%,26.4%,201,131-70,65.2%,1943,1056-887,54.3%,01:44,39.3,40.0,39.2%,186,475,0.49,2.4,6.3,0.93,2.4,64.9%,200,308,0.31,1.5,4.1,0.54,1.4,34.6%,34.9%,6.8%,3.1%,26.8%,48.7%,19.3%,6.2,2.1,40.0,62.4,53-23,69.7%,70.3%,69.2%,550,9.3%,148,2.5%,7.2%,65.1%,78.3%,55.4%,59.7%,89.0%,6.0,1.8
6,Andrey Rublev [RUS],78,1.15,12926,52.3%,31,18-13,58.1%,14.8%,209,135-74,64.6%,2016,1102-914,54.7%,01:50,41.2,40.0,39.0%,247,634,0.63,3.0,8.1,1.18,3.2,61.8%,257,416,0.41,2.0,5.3,0.76,2.0,38.6%,39.4%,8.0%,3.9%,30.4%,52.5%,24.7%,6.6,2.5,47.0,51.3,55-23,70.5%,66.5%,64.7%,600,9.5%,152,2.4%,6.2%,61.0%,76.0%,51.7%,55.1%,84.3%,6.2,2.1
7,Jannik Sinner [ITA],64,1.27,9841,53.9%,17,09-8,52.9%,10.1%,168,118-50,70.2%,1555,899-656,57.8%,01:52,42.8,43.9,42.7%,227,532,0.69,3.2,8.3,1.35,3.5,65.8%,217,330,0.42,2.0,5.2,0.67,1.8,41.3%,42.1%,6.7%,3.5%,33.0%,54.8%,29.5%,6.6,2.7,48.5,71.6,48-16,75.0%,67.4%,66.6%,381,8.0%,133,2.8%,6.7%,58.0%,75.9%,55.7%,59.6%,85.6%,6.0,2.0
8,Taylor Fritz [USA],82,1.19,12843,52.8%,46,27-19,58.7%,21.8%,211,140-71,66.4%,2045,1123-922,54.9%,01:45,40.9,40.3,42.3%,227,537,0.53,2.5,6.5,1.08,2.8,64.9%,259,399,0.39,1.9,4.9,0.66,1.7,37.3%,37.4%,6.8%,3.9%,28.5%,52.0%,22.5%,6.4,2.4,46.0,66.0,58-24,70.7%,68.7%,66.5%,768,12.1%,174,2.7%,6.9%,60.2%,78.7%,53.6%,57.6%,86.5%,6.1,1.9
9,Casper Ruud [NOR],59,1.07,9701,51.3%,28,17-11,60.7%,17.6%,159,93-66,58.5%,1541,814-727,52.8%,01:46,39.3,38.6,38.9%,166,427,0.56,2.7,7.2,1.04,2.8,63.5%,224,353,0.45,2.2,6.0,0.81,2.2,36.8%,37.7%,7.7%,3.2%,29.4%,49.6%,21.7%,6.3,2.3,58.0,69.1,35-24,59.3%,65.7%,65.5%,313,6.4%,150,3.1%,8.5%,63.8%,71.8%,55.0%,60.1%,83.4%,6.3,2.1
10,Alexander Zverev [GER],63,1.13,9711,51.8%,26,13-13,50.0%,16.0%,162,100-62,61.7%,1537,822-715,53.5%,01:44,40.6,40.7,37.1%,182,490,0.63,3.0,7.8,1.12,2.9,62.2%,204,328,0.43,2.0,5.2,0.77,2.0,38.0%,37.9%,5.9%,3.7%,29.2%,52.0%,23.5%,6.5,2.5,53.0,59.8,42-21,66.7%,66.4%,65.8%,475,10.1%,207,4.4%,14.1%,69.0%,74.6%,48.0%,55.9%,83.8%,6.2,2.1
